Organization Account, Organization SortField, Individual Account, Individual SortField, Campaign Account, Campaign Year, Envelope Number, Transaction Number, Transaction Type, Payment Type, Processed Date, Processed Time, Amount, Check Number, Check Date, Designated Amount, Undesignated Amount, Transaction Status, Adjustment Reason Type, Batch Flag, Number of Donors, Accounting Date, Accounting Time, Generate Receipt, Receipt Number, Receipt Date, Receipt Time, Check Off Account, Designated Flag, Credit Card Type, Card Number, Card Expiry Date, Name on Card, Authorization Number, GL Generation Required, GL Account, GL Account Override Flag, GL Batch Number, Cutoff Processed Date, Posted Date, Posted Time
2857,HOLIDAY INNS,0,,2550,1999,1839,24372,05Corp,Cash,20020107,122111,-60,,,0,0,500Completed,*None,0,0,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
2857,HOLIDAY INNS,0,,2550,1999,1839,24372,05Corp,Cash,20020107,122111,60,,,0,0,500Completed,*None,0,0,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
4836573,MATHEWS FURNITURE C,0,,2550,1999,1839,24373,05Corp,Cash,20020107,122114,-167,,,0,0,500Completed,*None,0,0,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
4836573,MATHEWS FURNITURE C,0,,2550,1999,1839,24373,05Corp,Cash,20020107,122114,167,,,0,0,500Completed,*None,0,0,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
4820,ALL ABOUT AVIATION,4844007,ABELNONDUS,2550,1999,1839,24374,11EmpBillMe,Cash,20020107,122113,-10,,,0,0,500Completed,*None,0,1,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
4820,ALL ABOUT AVIATION,4844007,ABELNONDUS,2550,1999,1839,24374,11EmpBillMe,Cash,20020107,122113,10,,,0,0,500Completed,*None,0,1,20051231,122050,1,0,,,6817,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,5167242,AAAA FFFF AA,4358,1999,1841,24426,10EmpFullPaid,Cash,20020116,180118,-100,,,0,100,500Completed,*None,0,1,20050116,180059,1,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,5167242,AAAA FFFF AA,4358,1999,1841,24426,10EmpFullPaid,Cash,20020116,180118,100,,,0,100,500Completed,*None,0,1,20050116,180059,1,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,5167242,AAAA FFFF AA,4358,1999,1841,24426,10EmpFullPaid,Cash,20020116,180118,-100,,,0,100,500Completed,*None,0,1,20050116,180059,1,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,5167242,AAAA FFFF AA,4358,1999,1841,24426,10EmpFullPaid,Cash,20020116,180118,100,,,0,100,500Completed,*None,0,1,20050116,180059,1,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1845,24430,05Corp,*None,20020118,111428,-1000,,,0,1000,500Completed,*None,0,0,20050118,111243,1,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1845,24430,05Corp,*None,20020118,111428,1000,,,0,1000,500Completed,*None,0,0,20050118,111243,1,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1846,24431,05Corp,Check,20020118,111502,-1000,123456,20020201,0,1000,500Completed,*None,0,0,20050118,111456,1,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1846,24431,05Corp,Check,20020118,111502,1000,123456,20020201,0,1000,500Completed,*None,0,0,20050118,111456,1,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1846,24431,05Corp,Check,20020118,111502,-1000,123456,20020201,0,1000,500Completed,*None,0,0,20050118,111456,1,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1846,24431,05Corp,Check,20020118,111502,1000,123456,20020201,0,1000,500Completed,*None,0,0,20050118,111456,1,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1849,24434,12EmpPayroll,Cash,20020118,112227,-500,,,0,500,500Completed,*None,1,10,20050118,112218,0,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1849,24434,12EmpPayroll,Cash,20020118,112227,500,,,0,500,500Completed,*None,1,10,20050118,112218,0,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1849,24434,12EmpPayroll,Cash,20020118,112227,-500,,,0,500,500Completed,*None,1,10,20050118,112218,0,0,,,4929,0,,,,,,1,01-101-40001-101-101-1,0,0,20020128,20020128,163133
5168026,DESIGNER FABRICS,0,,4358,1999,1849,24434,12EmpPayroll,Cash,20020118,112227,500,,,0,500,500Completed,*None,1,10,20050118,112218,0,0,,,4929,0,,,,,,1,01-101-11001,0,0,20020128,20020128,163133
