<<<<<<< HEAD
Batch,,D2,N,200510,B,-1,0,3850.72
Detail,01-101-11000,,,100,,100805,Donor2-200414,125.36,0
Detail,01-101-11000,,,,,100805,Donor2-200414,1800.00,0
Detail,01-101-40001-101-101-1,,,100,,100805,Donor2-200414,0,125.36
Detail,01-101-40001-101-101-1,,,,,100805,Donor2-200414,0,1800.00
=======
Batch,,D2,N,200510,B,-1,0,3850.72
Detail,01-101-11000,,,100,,100805,Donor2-200414,125.36,0
Detail,01-101-11000,,,,,100805,Donor2-200414,1800.00,0
Detail,01-101-40001-101-101-1,,,100,,100805,Donor2-200414,0,125.36
Detail,01-101-40001-101-101-1,,,,,100805,Donor2-200414,0,1800.00
>>>>>>> branch 'master' of https://github.com/ethanhort/PayrollBridge.git
